Date,Day_of_the_week,App,Minutes,Category
9/2,Saturday,SNAPCHAT,71,Social Media
9/2,Saturday,TIKTOK,69,Entertainment
9/2,Saturday,INSTAGRAM,68,Social Media
9/2,Saturday,WAZE,46,Travel
9/2,Saturday,MESSAGES,29,Other
9/2,Saturday,CLASH OF CLANS,20,Entertainment
9/1,Friday,TIKTOK,131,Entertainment
9/1,Friday,INSTAGRAM,58,Social Media
9/1,Friday,SNAPCHAT,51,Social Media
9/1,Friday,WAZE,34,Travel
9/1,Friday,X,23,Social Media
9/1,Friday,BEREAL,8,Social Media
8/31,Thursday,TIKTOK,92,Entertainment
8/31,Thursday,INSTAGRAM,43,Social Media
8/31,Thursday,WAZE,39,Travel
8/31,Thursday,SNAPCHAT,20,Social Media
8/31,Thursday,X,14,Social Media
8/31,Thursday,BEREAL,8,Social Media
8/30,Wednesday,TIKTOK,91,Entertainment
8/30,Wednesday,INSTAGRAM,58,Social Media
8/30,Wednesday,WAZE,42,Travel
8/30,Wednesday,CALCULATOR,40,Education
8/30,Wednesday,X,28,Social Media
8/30,Wednesday,SNAPCHAT,19,Social Media
8/30,Wednesday,MESSAGES,14,Other
8/29,Tuesday,TIKTOK,62,Entertainment
8/29,Tuesday,WAZE,46,Travel
8/29,Tuesday,INSTAGRAM,44,Social Media
8/29,Tuesday,CALCULATOR,30,Education
8/29,Tuesday,SNAPCHAT,17,Social Media
8/29,Tuesday,WEATHER,15,Other
8/29,Tuesday,X,12,Social Media
8/28,Monday,WAZE,42,Travel
8/28,Monday,GOOGLE,28,Other
8/28,Monday,TIKTOK,25,Entertainment
8/28,Monday,SNAPCHAT,21,Social Media
8/28,Monday,CLASH OF CLANS,8,Entertainment
8/28,Monday,GMAIL,8,Other
8/28,Monday,BEREAL,8,Social Media
8/28,Monday,MESSAGES,8,Other
8/27,Sunday,TIKTOK,286,Entertainment
8/27,Sunday,INSTAGRAM,43,Social Media
8/27,Sunday,SNAPCHAT,27,Social Media
8/27,Sunday,X,23,Social Media
8/27,Sunday,GOOGLE,13,Other
8/27,Sunday,CLASH OF CLANS,10,Entertainment
8/27,Sunday,BEREAL,4,Social Media
8/27,Sunday,MESSAGES,4,Other